,INFORMATIONS GENERALES,,,,,,,,,POSITION DE L'ETABLISSEMENT,,,,,,,
Date de dernière modification,Nom établissement,Finess,Adresse - voie,Adresse - complément,Adresse - code postal,Adresse - ville,Type d'accueil,Type structure,Type d'établissement,"Adresse géographique (reconnue par GPS, pas de cedex, etc)",Latitude,Longitude,Adresse retournée par le géocodage,Score du géocodage (> 0.5 bon),Précision du géocodage,Département,Code insee
,CENTRE HOSPITALIER DE SEDAN,080000037,2 avenue general margueritte,CS 40903,08209,SEDAN CEDEX,Généraliste,public,siège de SMUR,2 avenue general margueritte 08209 SEDAN,49.705211,4.940394,2 Avenue du Général Margueritte 08200 Sedan,0.79,housenumber,"08, Ardennes, Champagne-Ardenne",08409
,CENTRE HOSPITALIER DE RETHEL,080000219,1 place hourtoule,,08300,RETHEL,Généraliste,public,siège de SMUR,1 place hourtoule 08300 RETHEL,49.510648,4.363306,1 Place Hourtoule 08300 Rethel,0.93,housenumber,"08, Ardennes, Champagne-Ardenne",08362
,CENTRE HOSPITALIER DE VOUZIERS,080000276,12 rue henrionnet,,08400,VOUZIERS,Généraliste,public,siège de SMUR,12 rue henrionnet 08400 VOUZIERS,49.395212,4.702298,12 Rue Henrionnet 08400 Vouziers,0.93,housenumber,"08, Ardennes, Champagne-Ardenne",08490
,CH DE CHARLEVILLE MEZIERES,080000615,45 avenue de manchester,,08011,CHARLEVILLE MEZIERES CEDEX,Généraliste,public,siège de SAMU,45 avenue de manchester 08011 CHARLEVILLE MEZIERES,49.761686,4.695118,45 Avenue de Manchester 08000 Charleville-Mézières,0.83,housenumber,"08, Ardennes, Champagne-Ardenne",08105
,CENTRE HOSPITALIER DE TROYES,100000090,101 avenue anatole france,,10003,TROYES CEDEX,Généraliste,public,siège de SAMU,101 avenue anatole france 10003 TROYES,48.287167,4.076588,3 Avenue Anatole France 10000 Troyes,0.8,housenumber,"10, Aube, Champagne-Ardenne",10387
,GHAM - SITE DE ROMILLY-SUR-SEINE,100000199,avenue paul v. couturier,,10105,ROMILLY SUR SEINE CEDEX,Généraliste,public,siège de SMUR,avenue paul v. couturier 10105 ROMILLY SUR SEINE,48.514901,3.723544,5 Rue Paul Vaillant Couturier 10100 Romilly-sur-Seine,0.64,housenumber,"10, Aube, Champagne-Ardenne",10323
,CENTRE HOSPITALIER DE CHALONS,510000037,51 rue du cdt derrien,,51005,CHALONS EN CHAMPAGNE CEDEX,Généraliste,public,siège de SMUR,51 rue du commandant derrien 51005 CHALONS EN CHAMPAGNE,48.971401,4.372059,51 Rue du Commandant Derrien 51000 Châlons-en-Champagne,0.88,housenumber,"51, Marne, Champagne-Ardenne",51108
,CENTRE HOSPITALIER D'EPERNAY,510000060,137 rue de l hopital,Bo¯te postale 137,51205,EPERNAY CEDEX,Généraliste,public,siège de SMUR,137 rue de l hopital 51205 EPERNAY,49.033014,3.953435,137 Rue de l'Hôpital Auban Moet 51200 Épernay,0.64,housenumber,"51, Marne, Champagne-Ardenne",51230
,CENTRE HOSPITALIER VITRY LE FRANCOIS,510000078,2 rue charles simon,BP 413,51308,VITRY LE FRANCOIS CEDEX,Généraliste,public,siège de SMUR,2 rue charles simon 51308 VITRY LE FRANCOIS,48.715294,4.598006,2 Rue Charles Simon 51300 Vitry-le-François,0.85,housenumber,"51, Marne, Champagne-Ardenne",51649
,POLYCLINIQUE DE COURLANCY,510000185,38 rue de courlancy,,51057,REIMS CEDEX,Généraliste,privé,autre,38 rue de courlancy 51057 REIMS,49.245478,4.017934,38 Rue de Courlancy 51100 Reims,0.77,housenumber,"51, Marne, Champagne-Ardenne",51454
,POLYCLINIQUE SAINT ANDRE,510000193,18 rue de l'ecu,,51052,REIMS CEDEX,Généraliste,privé,autre,18 rue de l'ecu 51052 REIMS,49.257132,4.040597,18 Rue de l'Écu 51100 Reims,0.74,housenumber,"51, Marne, Champagne-Ardenne",51454
,AMERICAN MEMORIAL HOSPITAL CHU REIMS,510002470,47 rue cognacq jay,,51090,REIMS CEDEX,Pédiatrique,public,CHU/CHR,47 rue cognacq jay 51090 REIMS,49.230874,4.016935,47 Rue Cognacq Jay 51100 Reims,0.82,housenumber,"51, Marne, Champagne-Ardenne",51454
,HOPITAL MAISON BLANCHE CHU REIMS,510004302,45 rue cognacq jay,,51092,REIMS CEDEX,Généraliste,public,CHU/CHR,45 rue cognacq jay 51092 REIMS,49.231591,4.018916,45 Rue Cognacq Jay 51100 Reims,0.76,housenumber,"51, Marne, Champagne-Ardenne",51454
,CENTRE HOSPITALIER DE CHAUMONT,520780032,2 rue jeanne d'arc,,52014,CHAUMONT CEDEX,Généraliste,public,siège de SAMU,2 rue jeanne d'arc 52014 CHAUMONT,48.121851,5.138873,2 Rue Jeanne d'Arc 52000 Chaumont,0.78,housenumber,"52, Haute-Marne, Champagne-Ardenne",52121
,CENTRE HOSPITALIER DE LANGRES,520780057,10 rue de la charite,,52200,LANGRES,Généraliste,public,siège de SMUR,10 rue de la charite 52200 LANGRES,47.866627,5.3366,10 Rue de la Charité 52200 Langres,0.93,housenumber,"52, Haute-Marne, Champagne-Ardenne",52269
,CENTRE HOSPITALIER GENEVIEVE DE GAULLE ANTHONIOZ,520780073,1 rue albert schweitzer,,52115,ST DIZIER CEDEX,Généraliste,public,siège de SMUR,1 rue albert schweitzer 52115 ST DIZIER,48.656911,4.96701,1 Rue Albert Schweitzer 52100 Saint-Dizier,0.7,housenumber,"52, Haute-Marne, Champagne-Ardenne",52448
